vid,formula,reduced_formula,seed_jid,seed_delta_n,n_mean,n_std,n_ci_lo,n_ci_hi,n_ci_half,eg_mean,eg_std,eg_ci_lo,eg_ci_hi,eg_ci_half,score,passes_gate
VIRT-00022,Fe8 Si16,FeSi2,JVASP-56324,2.0119725386225986,5.154967625935872,0.058332198202185666,4.844308625935872,5.465626625935872,0.310659,0.5133851766586304,0.09690264714491732,-0.5195238233413697,1.5462941766586304,1.032909,0.9971085440957034,False
VIRT-00008,Fe4 Te8,FeTe2,JVASP-9117,2.9677470504733687,5.01456340154012,0.2752025120033223,4.70390440154012,5.32522240154012,0.310659,0.4676382939020793,0.027469237003595527,-0.5652707060979207,1.5005472939020794,1.032909,0.8138989433985502,False
VIRT-00007,Fe4 Se8,FeSe2,JVASP-9117,2.9677470504733687,4.669861475626628,0.22386377813308678,4.359202475626628,4.980520475626628,0.310659,0.5672681331634521,0.0994399956362846,-0.46564086683654793,1.6001771331634522,1.032909,0.6194046915734099,False
VIRT-00020,Sb8 Pt4,Sb2Pt,JVASP-9126,2.4968672575028856,4.669082323710124,0.12422566763501573,4.358423323710124,4.979741323710124,0.310659,0.46461737155914307,0.17268929468467922,-0.568291628440857,1.4975263715591431,1.032909,0.6157632438906623,False
VIRT-00017,As8 Pd4,As2Pd,JVASP-9126,2.4968672575028856,4.643985430399577,0.180061211433142,4.333326430399577,4.954644430399577,0.310659,0.5306007067362467,0.09483210443048587,-0.5023082932637534,1.5635097067362467,1.032909,0.6096553536634091,False
VIRT-00016,Ni4 As8,NiAs2,JVASP-9126,2.4968672575028856,4.725574175516765,0.17236377077760193,4.414915175516764,5.036233175516765,0.310659,0.3161845604578654,0.17117722672950209,-0.7167244395421346,1.3490935604578655,1.032909,0.5907269236012018,False
VIRT-00023,Si16 Os8,Si2Os,JVASP-56324,2.0119725386225986,4.446032842000325,0.16308844736458547,4.135373842000325,4.7566918420003255,0.310659,0.5234079360961914,0.0015315707459164103,-0.5095010639038087,1.5563169360961915,1.032909,0.4977527838775201,False
VIRT-00101,Cs2 H2 F4,CsHF2,JVASP-23980,0.3214135708543171,1.3270934422810872,0.024810202007914027,1.0164344422810871,1.6377524422810872,0.310659,7.232972939809163,0.1763382896370898,6.200063939809163,8.265881939809162,1.032909,0.40769043970310087,False
VIRT-00072,K1 Be2 F5,KBe2F5,JVASP-52863,0.3493372397045284,1.2417406638463337,0.023515820287294615,0.9310816638463337,1.5523996638463338,0.310659,7.34521468480428,0.09001099273141734,6.31230568480428,8.37812368480428,1.032909,0.39928244417269954,False
VIRT-00073,Cs1 Be2 F5,CsBe2F5,JVASP-52863,0.3493372397045284,1.2561797698338826,0.01356994182994167,0.9455207698338826,1.5668387698338826,0.310659,7.3093390464782715,0.12333916980690107,6.276430046478271,8.342248046478272,1.032909,0.396494612413355,False
VIRT-00096,K2 B2 F8,KBF4,JVASP-57703,0.3472936067572811,1.3068868319193523,0.03027522183924876,0.9962278319193523,1.6175458319193523,0.310659,7.242855389912923,0.22971465661477053,6.209946389912923,8.275764389912922,1.032909,0.3853441575523264,False
VIRT-00079,Rb2 B2 F8,RbBF4,JVASP-57785,0.3947002887570081,1.3215774297714233,0.03243802034347434,1.0109184297714233,1.6322364297714234,0.310659,7.1420063972473145,0.21433827574393471,6.109097397247314,8.174915397247315,1.032909,0.36726930752269393,False
VIRT-00075,Rb1 Ca2 F5,RbCa2F5,JVASP-52863,0.3493372397045284,1.351493239402771,0.009255408071507307,1.040834239402771,1.662152239402771,0.310659,6.894728978474935,0.11691070081601794,5.8618199784749345,7.927637978474935,1.032909,0.3409353427974409,False
VIRT-00027,Tl8 Ge2 Te6,Tl4GeTe3,JVASP-9377,1.7585908665133596,4.262155214945476,0.1476288820924771,3.9514962149454753,4.572814214945476,0.310659,0.2598823706309001,0.04168686604923619,-0.7730266293690999,1.2927913706309002,1.032909,0.29526185471468025,False
VIRT-00081,Cs2 Al2 F8,CsAlF4,JVASP-57785,0.3947002887570081,1.3017791509628296,0.014834299258343222,0.9911201509628296,1.6124381509628296,0.310659,6.944389661153157,0.31154560253191355,5.911480661153157,7.977298661153157,1.032909,0.2853955733288203,False
VIRT-00050,Ni1 Te6 P2,Ni(Te3P)2,JVASP-30317,1.5649219871564282,4.204825242360433,0.1337005117379631,3.8941662423604324,4.515484242360433,0.310659,0.3527065912882487,0.08288498736060372,-0.6802024087117513,1.3856155912882488,1.032909,0.28244738609931686,False
VIRT-00071,Na1 Be2 F5,NaBe2F5,JVASP-52863,0.3493372397045284,1.2078734238942463,0.019260882459331437,0.8972144238942463,1.5185324238942464,0.310659,7.0418291091918945,0.12915468099927035,6.0089201091918945,8.074738109191895,1.032909,0.2815870252097316,False
VIRT-00019,P8 Pt4,P2Pt,JVASP-9126,2.4968672575028856,4.088443597157796,0.07370969252523622,3.7777845971577957,4.399102597157796,0.310659,0.5543270905812582,0.12219113593572464,-0.4785819094187419,1.5872360905812584,1.032909,0.2809958330353859,False
VIRT-00074,Rb1 Mg2 F5,RbMg2F5,JVASP-52863,0.3493372397045284,1.279924710591634,0.014003111088235924,0.969265710591634,1.590583710591634,0.310659,6.8834967613220215,0.18307738896723452,5.850587761322021,7.916405761322022,1.032909,0.27581354947476244,False
VIRT-00092,Li8 Be4 Si4,Li2BeSi,JVASP-153312,1.2562606627863446,4.217581590016683,0.05716311001296496,3.9069225900166824,4.528240590016683,0.310659,0.17066478729248047,0.06800757628681957,-0.8622442127075196,1.2035737872924805,1.032909,0.27074910422115234,False
VIRT-00061,Te10 Mo8 Se6,Te5Mo4Se3,JVASP-34127,1.449798597242586,4.008049329121907,0.019789247289971983,3.697390329121907,4.3187083291219075,0.310659,0.6142946084340414,0.09951214265162109,-0.4186143915659587,1.6472036084340416,1.032909,0.27042456263601083,False
VIRT-00102,K2 Li2 F4,KLiF2,JVASP-23980,0.3214135708543171,1.3565324544906616,0.04271437530785833,1.0458734544906616,1.6671914544906616,0.310659,6.697983105977376,0.13474096604659988,5.665074105977376,7.730892105977376,1.032909,0.2694959418788658,False
VIRT-00095,Li2 Al2 F8,LiAlF4,JVASP-57703,0.3472936067572811,1.2911558548609416,0.041605070658925804,0.9804968548609416,1.6018148548609417,0.310659,6.767288684844971,0.24183039335580708,5.734379684844971,7.800197684844971,1.032909,0.22745387444820536,False
VIRT-00094,Sr4 Li8 Si4,SrLi2Si,JVASP-153312,1.2562606627863446,4.13926887512207,0.1028784544281886,3.82860987512207,4.4499278751220706,0.310659,0.2138346036275228,0.07383703306753767,-0.8190743963724773,1.2467436036275228,1.032909,0.21133701737035634,False
VIRT-00093,Li8 Ca4 Si4,Li2CaSi,JVASP-153312,1.2562606627863446,4.135616302490234,0.08839351055464381,3.824957302490234,4.446275302490235,0.310659,0.1921379566192627,0.07028582924094172,-0.8407710433807374,1.2250469566192628,1.032909,0.20894270719529048,False
VIRT-00067,Cr8 Te12 S4,Cr2Te3S,JVASP-33908,1.4364769401995088,3.8757705688476562,0.015883110606366442,3.565111568847656,4.1864295688476565,0.310659,0.6062292257944742,0.04976804825640606,-0.42667977420552583,1.6391382257944742,1.032909,0.1894472310974903,False
